,转债代码,转债名称,正股代码,正股名称,现价,涨跌幅,成交额,换手率,近5日涨跌幅,近20日涨跌幅,近3月涨跌幅,近1年涨跌幅,剩余规模（亿元）,转股价值,溢价率,正股价格,正股涨跌幅,正股成交额,正股波动率,双低指标,纯债价值,转债/正股流通市值比,自选标记,更新时间,上市日期,发行规模（亿元）,债券评级,到期日期,剩余年限,转股价,回售触发价,强赎触发价,距离转股开始天数,转股开始日期,下修条件,下修次数,下修成功次数,强赎标记,确定强赎日期,确定强赎价格,强赎天数统计
253,123118,惠城转债,1300779,惠城环保,122.165,-0.11,120.96,0.31,-2.19,-0.56,7.34,2.74,3.199,86.93,40.53,14.83,0.07,190.46,36.93,162.7,82.99,24.7,0,09:48:12,2021-07-26,3.2,A+,27-07-06,4.847,17.06,11.94,22.18,0,2022-01-13,15/30  85%,0,0,,,,0/15 | 30
254,123119,康泰转2,1300601,康泰生物,122.477,0.27,1092.1,0.45,-0.43,9.33,8.92,-2.14,19.995,51.83,136.31,34.47,2.32,14846.27,47.01,258.79,98.67,6.7,0,09:50:03,2021-08-05,20.0,AA,27-07-14,4.868,66.51,46.56,86.46,0,2022-01-21,15/30  85%,2,1,,,,0/15 | 30
255,123120,隆华转债,1300263,隆华科技,124.876,-0.33,986.76,0.99,-7.09,-16.16,-0.35,-32.5,7.984,94.45,32.21,7.32,-0.68,4302.82,54.31,157.09,91.31,14.3,0,09:50:03,2021-08-23,7.989,AA-,27-07-29,4.91,7.75,5.43,10.08,0,2022-02-07,15/30  85%,0,0,,,,1/15 | 30
256,123121,帝尔转债,1300776,帝尔激光,161.591,-2.52,8885.76,6.5,-15.41,-14.82,10.4,18.56,8.312,161.49,0.06,193.27,-3.75,10675.97,66.68,161.65,91.12,4.3,0,09:50:03,2021-08-27,8.4,AA-,27-08-04,4.926,119.68,83.78,155.58,0,2022-02-11,15/30  85%,0,0,G,,,0/15 | 30
257,123122,富瀚转债,1300613,富瀚微,120.483,0.52,217.3,0.31,-0.78,-5.16,4.91,-20.21,5.806,69.94,72.27,64.88,1.44,3666.05,59.56,192.75,81.43,4.1,0,09:50:03,2021-08-24,5.812,A+,27-08-05,4.929,92.77,64.94,120.6,0,2022-02-14,15/30  85%,0,0,,,,0/15 | 30
258,123123,江丰转债,1300666,江丰电子,188.42,0.49,23368.98,23.99,4.74,8.86,41.28,44.94,5.159,184.52,2.11,94.2,-0.2,13926.02,57.58,190.53,82.19,3.2,0,09:50:03,2021-09-01,5.165,A+,27-08-11,4.945,51.05,35.74,66.37,0,2022-02-18,15/30  85%,0,0,G,,,0/15 | 30
259,123124,晶瑞转2,1300655,晶瑞电材,113.732,0.3,112.19,0.19,-2.79,-7.23,3.1,13.73,5.228,58.67,93.85,17.39,0.52,3207.11,54.99,207.58,75.02,5.6,0,09:50:03,2021-09-07,5.23,A+,27-08-16,4.959,29.64,20.75,38.53,0,2022-02-21,15/30  85%,0,0,,,,0/15 | 30
260,123125,元力转债,1300174,元力股份,123.135,0.23,445.1,0.4,-2.27,-6.49,6.38,23.14,8.999,97.6,26.16,17.09,-0.29,1420.68,40.51,149.3,82.01,16.9,0,09:50:03,2021-09-30,9.0,AA-,27-09-06,5.016,17.51,12.26,22.76,0,2022-03-10,15/30  85%,0,0,,,,0/15 | 30
261,123126,瑞丰转债,1300243,瑞丰高材,114.318,0.12,51.99,0.13,-1.11,-2.79,1.44,14.32,3.4,53.56,113.44,9.47,-0.21,345.66,37.19,227.76,87.79,19.0,0,09:49:51,2021-10-18,3.4,A+,27-09-10,5.027,17.68,12.38,22.98,0,2022-03-16,15/30  85%,0,0,,,,0/15 | 30
262,123127,耐普转债,1300818,耐普矿机,122.215,0.01,251.61,0.51,-3.62,-6.56,-0.48,22.22,4.0,89.62,36.37,33.16,0.67,583.47,65.53,158.59,77.51,37.8,0,09:50:03,2021-11-19,4.0,A+,27-10-29,5.162,37.0,25.9,48.1,0,2022-05-05,15/30  85%,0,0,,,,0/15 | 30
